problem_idx,problem,answer
11,"A math test has 4 questions. The topic of each question is randomly and independently chosen from algebra, combinatorics, geometry, and number theory. Given that the math test has at least one algebra question, at least one combinatorics question, and at least one geometry question, compute the probability that this test has at least one number theory question.",\frac{2}{5}
12,"Jacopo is rolling a fair 4-sided die with faces labeled 1, 2, 3, and 4. He starts with a score of 0. Every time he rolls a face with label $i$, he adds $i$ to his score, and then replaces the label of that face with 0. Compute Jacopo's expected score after 4 rolls.",\frac{875}{128}
13,"The numbers 1, 2, 3, 4, 5, 6, and 7 are written on a blackboard in some order. Jacob repeatedly swaps numbers at adjacent positions on the blackboard until the numbers are sorted in ascending order.

Compute the number of initial orderings for which it is possible that the number 4 was included in a swap at most once.",324
14,"Sarunyu has a stick of length 1 with one endpoint marked in red. Every minute, he picks one of his sticks uniformly at random and breaks it into two halves of equal length. Compute the expected length of the stick with the red endpoint after 5 minutes.",\frac{63}{256}
15,"Let $S$ be the set of positive integer divisors of $10^9$. Compute the number of subsets $T$ of $S$ such that

- for every element $s$ of $S$, exactly one of $s$ and $10^9/s$ is in $T$, and
- for every element $t$ of $T$, all positive integer divisors of $t$ are in $T$.",252
16,"Derek currently owes $\pi$ units of a currency called Money of Indiscrete Type, or MIT for short. Every day, the following happens:

- He flips a fair coin to decide how much of his debt to pay. If he flips heads, he decreases his debt by 1 MIT. If he flips tails, he decreases his debt by 2 MITs. If Derek's debt ever becomes nonpositive, Derek becomes debt-free.
- Afterwards, his remaining debt doubles.

Compute the probability that Derek ever becomes debt-free. (MITs are continuous, so the debt is never rounded.)",2 - \frac{\pi}{2}
17,"Let $S$ be the set of vertices of a right prism whose bases are regular decagons $A_1A_2 \ldots A_{10}$ and $B_1B_2 \ldots B_{10}$. A plane, not passing through any vertex of $S$, partitions the vertices of $S$ into two sets, one of which is $M$. Compute the number of possible sets $M$ that can arise out of such a partition.",1574
18,A regular hexagon with side length 4 is subdivided into a lattice of 96 equilateral triangles of side length 1. Let $S$ be the set of all vertices of this lattice. Compute the number of nondegenerate triangles with vertices in $S$ that contain the center of the hexagon strictly in their interior.,6992
19,"Let \( A_1, A_2, A_3, \ldots \) be a sequence of finite nonempty sets of positive integers. Given that \( |A_i \cap A_j| = \gcd(i, j) \) for all (not necessarily distinct) positive integers \( i \) and \( j \), compute the minimum possible value of

\[
\sum_{d|250} \max A_d,
\]

where the sum ranges over all positive integer divisors \( d \) of 250.

(For a finite nonempty set \( S \), we define \( \max S \) as the largest element of \( S \).)
",499
20,"Let \(S\) be the set of all ordered pairs \((x, y)\) of nonnegative integers \(0 \leq x \leq 19\) and \(0 \leq y \leq 2\). Compute the number of permutations \((x_1, y_1)\), \((x_2, y_2)\), ..., \((x_{60}, y_{60})\) of the elements of \(S\) such that

- \(y_1 = 2\) and \(y_{60} = 0\);
- for all nonnegative integers \(1 \leq i \leq 59\), exactly one of the following holds:
  - \(x_i = x_{i+1}\) and \(|y_i - y_{i+1}| = 1\),
  - \(y_i = y_{i+1}\) and \(x_i - x_{i+1}\) is \(-1\) or \(19\).",20460
21,"Let $ABCD$ and $WXYZ$ be squares such that $W$ lies on segment $\overline{AD}$, $X$ lies on segment $\overline{AB}$, and points $Y$ and $Z$ lie strictly inside $ABCD$. Given that $AW = 4$, $AX = 5$, and $AB = 12$, compute the area of triangle $\triangle BCY$.
",18
22,"Let $HORSE$ be a convex pentagon such that $\angle EHO = \angle ORS = \angle SEH = 90^\circ$ and $\angle HOR = \angle RSE = 135^\circ$. Given that $HO = 20$, $SE = 26$, and $OS = 10$, compute the area of $HORSE$.",191
23,"Let \( ABCD \) be a rectangle with \( AB = 12 \) and \( BC = 16 \). Points \( W, X, Y, \) and \( Z \) lie on sides \( \overline{AB}, \overline{BC}, \overline{CD}, \) and \( \overline{DA} \), respectively, such that \( WXYZ \) is a rhombus with area 120. Compute \( XY \).",5\sqrt{5}
24,"Let \( ABC \) be a triangle with \( \angle BAC = 90^\circ \). Points \( X \) and \( Y \) are such that \( B, X, Y, \) and \( C \) lie on segment \( \overline{BC} \) in that order, \( BX = 4, XY = 5, \) and \( YC = 3 \). Let \( T \) be a point lying on segment \( \overline{AC} \) such that \( TA = TX = TY = \ell \) for some \( \ell \). Compute \( \ell \).",\frac{7}{3}\sqrt{3}
25,"Three circles of radius 2 are internally tangent to a circle $\Omega$ centered at $O$ of radius 11, and three chords of $\Omega$ are each tangent to two of the three circles. Given that $O$ lies inside the triangle formed by the three chords and two of the chords have length $4\sqrt{30}$, compute the length of the third chord.",8\sqrt{6}
26,"Let \(ABC\) be a triangle, and \(M\) be the midpoint of segment \(\overline{BC}\). Points \(P\) and \(Q\) lie on segments \(\overline{AB}\) and \(\overline{AC}\), respectively, so that \(\angle PMB = \angle QMC = \frac{1}{2}\angle BAC\). Given that \(AP = 1\), \(AQ = 3\), and \(BC = 8\), compute \(BP\).",\sqrt{17} - 1
27,"Let \( ABC \) be an isosceles triangle with \( AB = AC \). Points \( P \) and \( Q \) are located inside triangle \( ABC \) such that \( BP = PQ = QC \). Suppose that \( \angle BAP = 20^\circ \), \( \angle PAQ = 46^\circ \), and \( \angle QAC = 26^\circ \). Compute the measure of \( \angle APC \) in degrees.",74^\circ
28,"Let $ABC$ be a triangle with orthocenter $H$. The internal angle bisector of $\angle BAC$ meets the circumcircles of triangles $ABH$, $ACH$, and $ABC$ again at points $P$, $Q$, and $M$, respectively. Suppose that points $A$, $P$, $Q$, and $M$ are distinct and lie on the internal angle bisector of $\angle BAC$ in that order. Given that $AP = 4$, $AQ = 5$, and $BC = 7$, compute $AM$.",\sqrt{69}
29,"Let $ABC$ be triangle with incenter $I$ and incircle $\omega$. The circumcircle of triangle $BIC$ intersects $\omega$ at points $E$ and $F$. Suppose that $\Gamma \neq \omega$ is a circle passing through $E$ and $F$ and tangent to lines $AB$ and $AC$. If $AB = 5$, $AC = 7$, and $\Gamma$ has twice the radius of $\omega$, compute $BC$.",3 + \sqrt{11}
30,"Let $ABC$ be a triangle with centroid $G$ and circumcenter $O$. Suppose that the orthocenter of triangle $AGO$ lies on line $BC$. Given that $AB = 11$ and $AC = 13$, compute $BC$.",\frac{\sqrt{1740}}{3}
31,"Jessica the jackrabbit wants to climb down a wall. The wall consists of 2026 horizontal layers stacked vertically. The $n$th layer from the top is partitioned into $2^n - 1$ identical rectangular bricks arranged side by side. Jessica begins in the topmost layer, which contains a single brick. A move consists of Jessica going down one layer to a brick that shares a side with the brick she is currently on.

Determine, with proof, the total number of distinct sequences of moves Jessica can take to reach the 2026th layer.",3^{2025}
32,"Let $\alpha$ and $\beta$ be complex numbers such that $\alpha\beta + \alpha + \beta + 100 = 0$. Suppose that $|\alpha| = |\beta| = M$ for some nonnegative real number $M$. Determine, with proof, all possible values of $M$.

Output your answer as a comma-separated list of all possible values of $M$. For instance, if you believe 0,1, and 2 are the possible values, format you reply as \\boxed{0,1,2}",10
33,"The numbers 1, 2, ..., 2026 are written on a blackboard. An operation consists of replacing any number on the blackboard with the positive difference between the largest and smallest numbers currently on the blackboard. Determine, with proof, the least number of operations required to make all the numbers on the blackboard equal.",3037
